"Date,""Source"",""Site ID"",""POC"",""Daily Mean Pb Concentration"",""Units"",""Daily AQI Value"",""Local Site Name"",""Daily Obs Count"",""Percent Complete"",""AQS Parameter Code"",""AQS Parameter Description"",""Method Code"",""CBSA Code"",""CBSA Name"",""State FIPS Code"",""State"",""County FIPS Code"",""County"",""Site Latitude"",""Site Longitude"""
"01/06/2023,""AQS"",""060250005"",""7"",""0.00418"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"01/12/2023,""AQS"",""060250005"",""7"",""0.00638"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"01/24/2023,""AQS"",""060250005"",""7"",""0.00582"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"02/05/2023,""AQS"",""060250005"",""7"",""0.0373"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"02/17/2023,""AQS"",""060250005"",""7"",""0.00163"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"03/01/2023,""AQS"",""060250005"",""7"",""0.00327"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"03/13/2023,""AQS"",""060250005"",""7"",""0.00326"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"03/25/2023,""AQS"",""060250005"",""7"",""0.00323"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"04/06/2023,""AQS"",""060250005"",""7"",""0.00546"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"04/18/2023,""AQS"",""060250005"",""7"",""0.00368"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
"04/30/2023,""AQS"",""060250005"",""7"",""0.00533"",""ug/m3 SC"",""."",""Calexico-Ethel Street"",""1"",""100.0000"",""12128"",""Lead (TSP) STP"",""305"",""20940"",""El Centro, CA"",""06"",""California"",""025"",""Imperial"",""32.67618"",""-115.48307"""
